1COR1-1_S4	1COR1-2_S5	1COR1-3_S6	1HET-1_S9	1HET-2_S10	1HET-3_S11	1HOM-1_S12	1HOM-2_S13	1HOM-3_S14	1WT-1_S1	1WT-2_S2	1WT-3_S3
ENSG00000223972	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000227232	11	11	8	7	6	14	8	5	8	11	18	23
ENSG00000278267	1	2	0	0	1	0	0	2	0	0	0	1
ENSG00000243485	0	0	0	0	0	0	0	0	0	0	2	0
ENSG00000284332	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237613	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000268020	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000240361	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000186092	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000238009	3	0	1	0	3	0	5	2	0	0	0	0
ENSG00000239945	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233750	0	0	0	0	2	0	5	1	5	0	0	0
ENSG00000268903	4	10	7	11	4	4	4	8	4	2	16	6
ENSG00000269981	9	7	5	7	9	11	5	11	11	6	10	7
ENSG00000239906	0	1	0	1	0	1	2	2	0	0	1	0
ENSG00000241860	14	5	12	5	5	2	15	16	2	6	3	4
ENSG00000222623	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000241599	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000279928	0	0	2	1	0	0	0	0	0	0	0	0
ENSG00000279457	36	27	30	24	17	19	26	36	31	19	26	22
ENSG00000273874	0	1	0	1	0	0	0	1	0	0	0	0
ENSG00000228463	3	4	3	8	6	3	3	9	2	6	9	6
ENSG00000286448	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000236679	0	3	0	0	0	0	0	0	0	0	4	0
ENSG00000236601	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237094	30	28	21	28	25	24	58	58	49	20	28	45
ENSG00000269732	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284733	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000233653	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000250575	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000278757	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230021	7	2	9	3	6	0	5	1	3	6	0	1
ENSG00000235146	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225972	44	17	19	20	25	44	18	16	20	18	16	20
ENSG00000225630	4809	3772	3708	5072	4138	5145	3886	3977	3864	2939	3626	4096
ENSG00000237973	801	581	595	788	696	766	623	669	667	564	571	583
ENSG00000278791	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229344	16	12	17	20	16	21	24	23	13	18	17	18
ENSG00000240409	16	9	11	16	11	25	13	10	16	9	15	13
ENSG00000248527	13886	11093	10369	14356	11838	13534	10483	11977	10862	8866	10783	11535
ENSG00000198744	39	45	39	36	38	49	42	43	38	37	43	54
ENSG00000268663	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284662	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229376	2	0	0	0	2	0	0	0	0	4	0	0
ENSG00000228327	61	46	59	24	24	24	27	72	44	48	37	49
ENSG00000223181	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229905	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237491	38	43	40	44	39	24	22	36	59	14	22	27
ENSG00000285268	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230092	9	3	4	7	6	12	3	3	12	2	10	3
ENSG00000177757	4	1	7	10	8	2	4	0	8	1	6	7
ENSG00000228794	809	662	641	631	564	743	629	684	624	530	633	664
ENSG00000225880	11	14	8	6	9	10	6	9	15	4	6	10
ENSG00000288531	0	0	0	0	0	0	6	0	0	0	0	2
ENSG00000230368	0	0	0	0	1	1	0	0	0	0	0	0
ENSG00000234711	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000283040	0	0	0	0	0	0	0	0	0	1	0	0
ENSG00000272438	9	4	6	4	8	6	6	1	4	4	6	7
ENSG00000230699	57	59	34	31	33	51	46	33	34	48	41	43
ENSG00000241180	0	3	0	1	0	0	0	3	0	0	1	2
ENSG00000223764	112	105	101	99	135	106	130	150	134	145	121	155
ENSG00000187634	171	153	125	52	53	59	143	128	145	187	231	166
ENSG00000188976	2725	2423	2112	1903	2029	2049	2003	2289	2012	1955	2463	2332
ENSG00000187961	478	385	405	285	322	286	242	452	307	303	394	448
ENSG00000187583	55	49	38	106	98	119	72	104	66	33	39	52
ENSG00000187642	0	0	0	2	0	2	2	0	0	0	0	0
ENSG00000272512	20	12	14	18	6	13	12	5	16	12	10	14
ENSG00000188290	273	222	160	253	255	224	233	244	228	148	288	189
ENSG00000187608	218	181	172	162	236	169	154	214	183	188	193	185
ENSG00000231702	1	2	0	3	1	2	0	1	2	2	0	2
ENSG00000224969	10	6	4	1	4	6	2	7	6	4	3	10
ENSG00000188157	11164	10464	8741	13071	12938	12202	11562	12233	10478	9437	12041	11461
ENSG00000242590	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000217801	86	67	50	96	79	67	79	92	69	82	53	70
ENSG00000273443	10	8	3	12	6	11	3	10	5	6	13	6
ENSG00000237330	0	5	2	2	6	4	2	2	2	2	0	0
ENSG00000131591	323	295	219	220	240	202	230	220	196	212	310	304
ENSG00000285812	40	37	32	30	19	10	16	44	28	14	34	33
ENSG00000223823	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000207730	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000207607	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000198976	0	0	0	0	0	0	0	0	0	1	0	0
ENSG00000272141	2	2	2	2	2	0	0	0	4	0	2	2
ENSG00000205231	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000162571	2	0	0	0	0	0	3	0	2	0	0	0
ENSG00000186891	0	6	2	2	2	0	1	2	2	0	3	0
ENSG00000186827	2	2	0	0	2	0	0	0	1	0	0	0
ENSG00000078808	5347	4611	3961	6147	6828	6425	3870	4519	4083	3701	4672	4546
ENSG00000176022	1265	1033	869	1135	1036	1111	940	999	929	908	1178	1155
ENSG00000184163	15	29	12	18	32	21	25	16	21	15	25	31
ENSG00000260179	8	6	2	4	16	7	8	5	6	14	6	12
ENSG00000160087	1910	1824	1467	1415	1305	1368	1319	1564	1341	1313	1623	1647
ENSG00000230415	12	13	13	21	19	13	14	7	26	8	15	12
ENSG00000162572	80	72	61	27	61	63	47	52	53	56	61	44
ENSG00000131584	1667	1530	1165	1090	1092	1175	1163	1408	1031	1093	1621	1408
ENSG00000278073	0	0	0	0	0	0	0	0	0	1	0	0
ENSG00000169972	346	258	244	241	270	244	276	288	229	280	336	265
ENSG00000127054	1857	1645	1421	1329	1376	1399	1226	1507	1374	1400	1699	1577
ENSG00000283712	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000240731	77	55	60	35	55	58	50	54	66	50	63	61
ENSG00000224051	549	486	355	428	402	413	418	400	364	355	393	390
ENSG00000169962	12	10	4	8	6	1	4	2	3	16	16	14
ENSG00000107404	1418	1211	1089	976	1164	1030	1161	1151	1066	1134	1396	1198
ENSG00000284372	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000162576	3007	2645	2367	3246	3420	3034	2586	2716	2491	2191	2826	2643
ENSG00000175756	1322	1161	995	1049	1158	1124	995	1133	938	945	1113	1110
ENSG00000223663	0	0	2	0	0	0	4	0	0	0	0	0
ENSG00000221978	10099	8882	7988	7101	6993	7056	6542	8511	6982	6275	8315	8318
ENSG00000224870	470	391	385	405	375	372	348	388	392	361	478	402
ENSG00000242485	1606	1267	1139	1172	1191	1273	973	1237	1066	1074	1204	1290
ENSG00000264293	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000272455	153	107	98	68	87	87	77	103	55	96	131	114
ENSG00000235098	36	32	16	17	10	10	34	12	16	38	12	7
ENSG00000225905	1	2	2	0	0	0	0	0	1	4	1	2
ENSG00000205116	5	0	2	0	3	1	4	0	3	2	2	4
ENSG00000225285	6	15	11	11	8	17	25	13	12	10	6	9
ENSG00000179403	1034	1036	832	930	870	929	1077	1173	887	900	1010	876
ENSG00000215915	30	22	22	25	25	26	32	31	34	26	18	31
ENSG00000160072	1026	1053	827	581	706	569	688	823	655	843	996	981
ENSG00000284740	0	2	3	0	0	3	4	2	2	0	4	0
ENSG00000197785	1039	954	739	730	722	745	664	869	633	858	902	865
ENSG00000205090	120	112	56	49	42	50	54	77	58	94	70	72
ENSG00000160075	4082	3278	3079	3253	3085	3342	2845	3423	3062	2797	3620	3291
ENSG00000215014	32	45	26	38	38	62	22	39	26	29	33	37
ENSG00000274481	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228594	316	260	238	196	235	199	271	241	247	271	264	318
ENSG00000286989	18	30	14	20	6	16	6	21	6	8	13	10
ENSG00000272106	276	214	153	142	181	165	150	173	122	142	199	208
ENSG00000197530	783	806	635	647	717	675	646	815	639	625	846	768
ENSG00000189409	9	12	4	24	30	11	12	17	7	4	9	16
ENSG00000248333	1151	882	878	808	759	887	762	885	769	793	875	836
ENSG00000272004	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000189339	2666	2122	1958	2023	1922	1903	1841	2116	1831	1878	2368	2195
ENSG00000269737	104	103	122	61	43	74	64	88	95	64	91	107
ENSG00000215914	0	0	0	1	2	0	1	0	0	0	1	0
ENSG00000008128	83	65	73	42	62	51	60	62	57	51	76	81
ENSG00000268575	94	119	67	94	81	68	87	122	68	67	131	102
ENSG00000227775	425	367	347	315	303	341	346	362	295	315	394	390
ENSG00000215790	210	182	163	160	145	168	149	164	132	162	178	175
ENSG00000008130	2301	2085	1767	1463	1630	1459	1868	1957	1567	1752	2073	1797
ENSG00000078369	30345	25122	22988	25235	24065	24909	21718	25149	21972	19901	25808	25333
ENSG00000231050	12	7	6	6	6	3	15	8	6	9	4	6
ENSG00000169885	16	16	13	14	18	21	12	16	1	4	6	4
ENSG00000178821	24	12	10	14	8	16	10	14	22	20	14	16
ENSG00000142609	19	2	14	0	0	0	2	0	3	10	9	8
ENSG00000233542	2	0	0	0	0	0	0	0	0	0	0	4
ENSG00000187730	0	2	0	0	2	0	0	2	0	0	0	2
ENSG00000226969	0	0	0	0	0	0	0	2	0	0	0	0
ENSG00000067606	504	396	360	673	729	715	530	559	546	333	383	466
ENSG00000271806	3	0	8	8	0	7	3	2	3	1	2	0
ENSG00000182873	86	111	98	68	65	89	63	83	77	71	83	72
ENSG00000162585	1156	1007	803	747	836	857	691	815	808	797	1076	974
ENSG00000234396	0	0	1	0	2	2	0	0	1	0	0	0
ENSG00000157933	6097	5036	4890	3816	3502	3727	4345	4852	4207	4181	5525	5210
ENSG00000287356	39	24	32	35	28	32	30	51	18	22	49	54
ENSG00000116151	265	195	163	270	249	228	199	212	200	182	221	234
ENSG00000272161	0	0	1	8	0	0	0	0	2	0	0	0
ENSG00000269896	51	45	35	12	18	30	14	43	34	16	47	30
ENSG00000272420	27	18	12	17	4	10	6	12	10	6	14	14
ENSG00000157916	4475	3781	3554	4467	4803	4383	3377	4145	3479	3156	3755	3993
ENSG00000157911	593	402	366	310	408	255	325	412	290	340	473	493
ENSG00000149527	24	10	8	20	18	20	2	20	6	4	4	6
ENSG00000224387	0	0	0	0	2	0	0	0	0	0	0	0
ENSG00000229393	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000157881	380	415	244	310	278	332	313	378	309	260	399	388
ENSG00000197921	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000272449	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000238164	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000157873	6	0	2	0	0	0	0	2	10	7	4	4
ENSG00000225931	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228037	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000157870	128	76	50	56	48	63	88	48	58	90	102	62
ENSG00000142606	0	0	10	2	4	0	0	0	2	0	0	0
ENSG00000237058	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000215912	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000285945	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000283259	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233234	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000287396	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000231630	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284745	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000169717	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000177133	29	43	40	27	12	37	80	35	68	17	31	26
